,Age,Years of Experience,Bachelor,High_School,Master,PhD,Female,Male,Other,Salary
159,28.0,2.0,1,0,0,0,0,1,0,40000.0
160,39.0,12.0,1,0,0,0,1,0,0,90000.0
161,48.0,21.0,0,0,1,0,0,1,0,175000.0
162,30.0,3.0,1,0,0,0,1,0,0,45000.0
163,35.0,7.0,1,0,0,0,0,1,0,80000.0
164,41.0,13.0,0,0,1,0,1,0,0,120000.0
165,27.0,1.5,1,0,0,0,0,1,0,35000.0
166,40.0,14.0,1,0,0,0,1,0,0,110000.0
167,46.0,18.0,0,0,0,1,0,1,0,150000.0
168,31.0,4.0,1,0,0,0,1,0,0,50000.0
169,34.0,9.0,0,0,1,0,0,1,0,105000.0
170,50.0,20.0,0,0,1,0,1,0,0,180000.0
171,29.0,2.0,1,0,0,0,0,1,0,40000.0
172,27.0,2.0,0,0,0,0,0,0,0,140000.0
173,43.0,16.0,1,0,0,0,0,1,0,140000.0
174,26.0,1.5,0,0,1,0,1,0,0,45000.0
175,35.0,7.0,1,0,0,0,0,1,0,85000.0
176,42.0,18.0,0,0,0,1,1,0,0,140000.0
177,31.0,4.0,1,0,0,0,0,1,0,50000.0
178,38.0,10.0,1,0,0,0,1,0,0,80000.0
179,46.0,20.0,0,0,1,0,0,1,0,170000.0
180,29.0,2.0,1,0,0,0,1,0,0,40000.0
181,37.0,9.0,0,0,1,0,0,1,0,105000.0
182,44.0,15.0,0,0,0,1,1,0,0,145000.0
183,27.0,2.0,1,0,0,0,0,1,0,40000.0
184,36.0,8.0,1,0,0,0,1,0,0,85000.0
185,43.0,14.0,1,0,0,0,0,1,0,130000.0
186,33.0,6.0,0,0,1,0,1,0,0,95000.0
187,34.0,9.0,1,0,0,0,0,1,0,100000.0
188,50.0,22.0,0,0,0,1,1,0,0,180000.0
189,28.0,1.5,1,0,0,0,0,1,0,35000.0
190,39.0,12.0,1,0,0,0,1,0,0,95000.0
191,47.0,19.0,0,0,1,0,0,1,0,170000.0
192,30.0,3.0,1,0,0,0,1,0,0,45000.0
193,34.0,7.0,1,0,0,0,0,1,0,95000.0
194,40.0,13.0,0,0,1,0,1,0,0,120000.0
195,28.0,2.0,1,0,0,0,0,1,0,40000.0
196,41.0,11.0,1,0,0,0,1,0,0,90000.0
197,45.0,17.0,0,0,0,1,0,1,0,155000.0
198,32.0,5.0,1,0,0,0,1,0,0,55000.0
199,35.0,9.0,0,0,1,0,0,1,0,110000.0
200,49.0,21.0,0,0,1,0,1,0,0,180000.0
201,30.0,3.0,1,0,0,0,0,1,0,45000.0
202,44.0,16.0,1,0,0,0,0,1,0,130000.0
203,27.0,1.5,0,0,1,0,1,0,0,45000.0
204,36.0,7.0,1,0,0,0,0,1,0,90000.0
205,41.0,17.0,0,0,0,1,1,0,0,160000.0
206,31.0,4.0,1,0,0,0,0,1,0,50000.0
207,39.0,10.0,1,0,0,0,1,0,0,120000.0
208,47.0,20.0,0,0,1,0,0,1,0,170000.0
209,30.0,2.0,1,0,0,0,1,0,0,40000.0
210,38.0,9.0,0,0,1,0,0,1,0,110000.0
211,45.0,15.0,0,0,0,1,1,0,0,150000.0
212,28.0,2.0,1,0,0,0,0,1,0,40000.0
213,35.0,8.0,1,0,0,0,1,0,0,85000.0
214,44.0,14.0,1,0,0,0,0,1,0,130000.0
215,34.0,6.0,0,0,1,0,1,0,0,100000.0
216,35.0,9.0,1,0,0,0,0,1,0,95000.0
217,50.0,22.0,0,0,0,1,1,0,0,180000.0
218,29.0,1.5,1,0,0,0,0,1,0,35000.0
219,40.0,12.0,1,0,0,0,1,0,0,100000.0
220,48.0,19.0,0,0,1,0,0,1,0,170000.0
221,31.0,3.0,1,0,0,0,1,0,0,45000.0
222,33.0,7.0,1,0,0,0,0,1,0,100000.0
223,42.0,13.0,0,0,1,0,1,0,0,140000.0
224,28.0,2.0,1,0,0,0,0,1,0,40000.0
225,40.0,11.0,1,0,0,0,1,0,0,105000.0
226,46.0,18.0,0,0,0,1,0,1,0,160000.0
227,33.0,5.0,1,0,0,0,1,0,0,70000.0
228,37.0,9.0,0,0,1,0,0,1,0,120000.0
229,51.0,21.0,0,0,1,0,1,0,0,190000.0
230,30.0,3.0,1,0,0,0,0,1,0,45000.0
231,43.0,15.0,1,0,0,0,0,1,0,120000.0
232,27.0,1.5,0,0,1,0,1,0,0,50000.0
233,35.0,8.0,1,0,0,0,0,1,0,85000.0
234,42.0,13.0,0,0,0,1,1,0,0,140000.0
235,32.0,3.0,1,0,0,0,0,1,0,45000.0
236,37.0,9.0,1,0,0,0,1,0,0,100000.0
237,45.0,16.0,0,0,1,0,0,1,0,140000.0
238,33.0,5.0,1,0,0,0,1,0,0,70000.0
239,39.0,10.0,1,0,0,0,0,1,0,120000.0
240,44.0,18.0,0,0,0,1,1,0,0,160000.0
241,29.0,1.5,1,0,0,0,0,1,0,40000.0
242,38.0,10.0,1,0,0,0,1,0,0,120000.0
243,46.0,19.0,0,0,0,1,0,1,0,150000.0
244,34.0,6.0,1,0,0,0,1,0,0,70000.0
245,36.0,8.0,1,0,0,0,0,1,0,95000.0
246,49.0,21.0,0,0,1,0,1,0,0,180000.0
247,31.0,3.0,1,0,0,0,0,1,0,50000.0
248,41.0,11.0,1,0,0,0,1,0,0,95000.0
249,47.0,20.0,0,0,1,0,0,1,0,170000.0
250,30.0,2.0,1,0,0,0,1,0,0,40000.0
251,38.0,9.0,0,0,1,0,0,1,0,110000.0
252,45.0,15.0,0,0,0,1,1,0,0,150000.0
253,28.0,2.0,1,0,0,0,0,1,0,40000.0
254,35.0,8.0,1,0,0,0,1,0,0,85000.0
255,44.0,14.0,1,0,0,0,0,1,0,130000.0
256,34.0,6.0,0,0,1,0,1,0,0,100000.0
257,35.0,9.0,1,0,0,0,0,1,0,95000.0
258,50.0,22.0,0,0,0,1,1,0,0,180000.0
259,29.0,1.5,1,0,0,0,0,1,0,350.0
260,27.0,2.0,0,0,0,0,0,0,0,140000.0
261,37.0,10.0,1,0,0,0,1,0,0,120000.0
262,46.0,18.0,0,0,0,1,0,1,0,160000.0
263,31.0,3.0,1,0,0,0,1,0,0,50000.0
264,42.0,12.0,1,0,0,0,0,1,0,110000.0
265,29.0,1.5,1,0,0,0,1,0,0,40000.0
266,36.0,8.0,1,0,0,0,0,1,0,95000.0
267,44.0,15.0,0,0,1,0,1,0,0,140000.0
268,33.0,4.0,1,0,0,0,0,1,0,60000.0
269,39.0,9.0,1,0,0,0,1,0,0,110000.0
270,45.0,16.0,0,0,0,1,0,1,0,150000.0
271,32.0,4.0,1,0,0,0,1,0,0,60000.0
272,37.0,8.0,1,0,0,0,0,1,0,90000.0
273,47.0,20.0,0,0,1,0,1,0,0,180000.0
274,30.0,2.0,1,0,0,0,0,1,0,40000.0
275,38.0,9.0,1,0,0,0,1,0,0,120000.0
276,46.0,17.0,0,0,0,1,0,1,0,160000.0
277,34.0,5.0,1,0,0,0,1,0,0,70000.0
278,36.0,8.0,1,0,0,0,0,1,0,95000.0
279,49.0,21.0,0,0,1,0,1,0,0,180000.0
280,31.0,3.0,1,0,0,0,0,1,0,50000.0
281,41.0,11.0,1,0,0,0,1,0,0,95000.0
282,47.0,19.0,0,0,1,0,0,1,0,170000.0
283,29.0,1.5,1,0,0,0,1,0,0,35000.0
284,35.0,9.0,1,0,0,0,0,1,0,100000.0
285,44.0,15.0,0,0,0,1,1,0,0,150000.0
286,33.0,4.0,1,0,0,0,0,1,0,60000.0
287,35.0,8.0,1,0,0,0,1,0,0,85000.0
288,44.0,13.0,1,0,0,0,0,1,0,130000.0
289,32.0,4.0,1,0,0,0,0,1,0,65000.0
290,38.0,10.0,1,0,0,0,1,0,0,110000.0
291,49.0,21.0,0,0,0,1,0,1,0,180000.0
292,29.0,2.0,1,0,0,0,1,0,0,40000.0
293,35.0,7.0,1,0,0,0,0,1,0,90000.0
294,45.0,14.0,0,0,1,0,1,0,0,140000.0
295,33.0,4.0,1,0,0,0,0,1,0,60000.0
296,40.0,12.0,1,0,0,0,1,0,0,130000.0
297,44.0,16.0,0,0,0,1,0,1,0,160000.0
298,30.0,2.0,1,0,0,0,1,0,0,40000.0
299,37.0,9.0,1,0,0,0,0,1,0,100000.0
300,48.0,20.0,0,0,1,0,1,0,0,180000.0
301,31.0,3.0,1,0,0,0,0,1,0,55000.0
302,38.0,9.0,1,0,0,0,1,0,0,120000.0
303,45.0,16.0,0,0,0,1,0,1,0,150000.0
304,33.0,5.0,1,0,0,0,1,0,0,70000.0
305,36.0,8.0,1,0,0,0,0,1,0,95000.0
306,49.0,21.0,0,0,1,0,1,0,0,180000.0
307,31.0,3.0,1,0,0,0,0,1,0,50000.0
308,42.0,12.0,1,0,0,0,1,0,0,120000.0
309,47.0,19.0,0,0,1,0,0,1,0,170000.0
310,29.0,1.5,1,0,0,0,1,0,0,35000.0
311,35.0,9.0,1,0,0,0,0,1,0,100000.0
312,44.0,15.0,0,0,0,1,1,0,0,150000.0
313,33.0,4.0,1,0,0,0,0,1,0,60000.0
314,35.0,8.0,1,0,0,0,1,0,0,85000.0
315,44.0,13.0,1,0,0,0,0,1,0,130000.0
316,34.0,6.0,0,0,1,0,1,0,0,80000.0
317,36.0,8.0,1,0,0,0,0,1,0,95000.0
318,30.0,2.0,1,0,0,0,1,0,0,40000.0
319,37.0,10.0,1,0,0,0,0,1,0,120000.0
320,45.0,16.0,0,0,1,0,1,0,0,160000.0
321,32.0,4.0,1,0,0,0,0,1,0,65000.0
322,39.0,12.0,1,0,0,0,1,0,0,130000.0
323,47.0,20.0,0,0,0,1,0,1,0,180000.0
324,29.0,2.0,1,0,0,0,1,0,0,40000.0
325,36.0,9.0,1,0,0,0,0,1,0,100000.0
326,43.0,15.0,0,0,0,1,1,0,0,150000.0
327,32.0,3.0,1,0,0,0,0,1,0,55000.0
328,38.0,10.0,1,0,0,0,1,0,0,110000.0
329,48.0,21.0,0,0,1,0,0,1,0,180000.0
330,31.0,3.0,1,0,0,0,1,0,0,50000.0
331,40.0,12.0,1,0,0,0,0,1,0,130000.0
332,45.0,16.0,0,0,0,1,1,0,0,160000.0
333,33.0,4.0,1,0,0,0,0,1,0,60000.0
334,36.0,8.0,1,0,0,0,1,0,0,95000.0
335,47.0,19.0,0,0,1,0,0,1,0,170000.0
336,29.0,2.0,1,0,0,0,1,0,0,40000.0
337,34.0,7.0,1,0,0,0,0,1,0,90000.0
338,44.0,15.0,0,0,0,1,1,0,0,150000.0
339,33.0,5.0,1,0,0,0,0,1,0,70000.0
340,35.0,8.0,1,0,0,0,1,0,0,90000.0
341,43.0,18.0,0,0,1,0,0,1,0,170000.0
342,31.0,3.0,1,0,0,0,1,0,0,50000.0
343,41.0,14.0,1,0,0,0,0,1,0,150000.0
344,44.0,16.0,0,0,0,1,1,0,0,160000.0
345,33.0,4.0,1,0,0,0,0,1,0,60000.0
346,35.0,8.0,1,0,0,0,1,0,0,85000.0
347,45.0,19.0,0,0,1,0,0,1,0,180000.0
348,28.0,1.0,1,0,0,0,1,0,0,35000.0
349,36.0,8.0,1,0,0,0,0,1,0,110000.0
350,44.0,16.0,0,0,0,1,1,0,0,160000.0
351,31.0,3.0,1,0,0,0,0,1,0,55000.0
352,38.0,10.0,1,0,0,0,1,0,0,110000.0
353,48.0,21.0,0,0,1,0,0,1,0,180000.0
354,31.0,3.0,1,0,0,0,1,0,0,50000.0
355,40.0,12.0,1,0,0,0,0,1,0,130000.0
356,45.0,16.0,0,0,0,1,1,0,0,160000.0
357,33.0,4.0,1,0,0,0,0,1,0,60000.0
358,36.0,8.0,1,0,0,0,1,0,0,95000.0
359,47.0,19.0,0,0,1,0,0,1,0,170000.0
360,29.0,2.0,1,0,0,0,1,0,0,40000.0
361,34.0,7.0,1,0,0,0,0,1,0,90000.0
362,44.0,15.0,0,0,0,1,1,0,0,150000.0
363,33.0,5.0,1,0,0,0,0,1,0,70000.0
364,35.0,8.0,1,0,0,0,1,0,0,90000.0
365,43.0,18.0,0,0,1,0,0,1,0,170000.0
366,31.0,3.0,1,0,0,0,1,0,0,50000.0
367,41.0,14.0,1,0,0,0,0,1,0,150000.0
368,44.0,16.0,0,0,0,1,1,0,0,160000.0
369,33.0,4.0,1,0,0,0,0,1,0,60000.0
370,35.0,8.0,1,0,0,0,1,0,0,85000.0
371,43.0,19.0,0,0,1,0,0,1,0,170000.0
372,29.0,2.0,1,0,0,0,1,0,0,40000.0
373,34.0,7.0,1,0,0,0,0,1,0,90000.0
374,44.0,15.0,0,0,0,1,1,0,0,150000.0
375,31.0,6.0,0,0,1,0,0,1,0,160000.0
376,28.0,3.0,1,0,0,0,1,0,0,125000.0
377,26.0,2.0,0,0,1,0,0,1,0,120000.0
378,27.0,2.0,1,0,0,0,1,0,0,110000.0
379,30.0,5.0,0,0,0,1,0,1,0,180000.0
380,29.0,4.0,1,0,0,0,1,0,0,140000.0
381,32.0,7.0,1,0,0,0,0,1,0,170000.0
382,25.0,1.0,0,0,1,0,1,0,0,100000.0
383,33.0,8.0,0,0,0,1,0,1,0,190000.0
384,31.0,6.0,1,0,0,0,1,0,0,155000.0
385,28.0,3.0,0,0,1,0,0,1,0,130000.0
386,30.0,5.0,1,0,0,0,1,0,0,145000.0
387,27.0,2.0,0,0,0,1,0,1,0,115000.0
388,29.0,4.0,1,0,0,0,1,0,0,140000.0
389,34.0,9.0,1,0,0,0,0,1,0,185000.0
390,25.0,1.0,0,0,1,0,1,0,0,100000.0
391,33.0,8.0,0,0,0,1,0,1,0,190000.0
392,31.0,6.0,1,0,0,0,1,0,0,155000.0
393,28.0,3.0,0,0,1,0,0,1,0,130000.0
394,30.0,5.0,1,0,0,0,1,0,0,145000.0
395,28.0,3.0,1,0,0,0,0,1,0,125000.0
396,26.0,2.0,0,0,1,0,1,0,0,120000.0
397,27.0,2.0,1,0,0,0,0,1,0,110000.0
398,30.0,5.0,0,0,0,1,1,0,0,180000.0
399,29.0,4.0,1,0,0,0,0,1,0,140000.0
400,32.0,7.0,1,0,0,0,0,1,0,170000.0
401,25.0,1.0,0,0,1,0,1,0,0,100000.0
402,33.0,8.0,0,0,0,1,0,1,0,190000.0
403,31.0,6.0,1,0,0,0,1,0,0,155000.0
404,28.0,3.0,0,0,1,0,0,1,0,130000.0
405,30.0,5.0,1,0,0,0,1,0,0,145000.0
406,27.0,2.0,0,0,0,1,0,1,0,115000.0
407,29.0,4.0,1,0,0,0,1,0,0,140000.0
408,34.0,9.0,1,0,0,0,0,1,0,185000.0
409,25.0,1.0,0,0,1,0,1,0,0,100000.0
410,33.0,8.0,0,0,0,1,0,1,0,190000.0
411,31.0,6.0,1,0,0,0,1,0,0,155000.0
412,28.0,3.0,0,0,1,0,0,1,0,130000.0
413,30.0,5.0,1,0,0,0,1,0,0,145000.0
414,28.0,3.0,1,0,0,0,0,1,0,125000.0
415,26.0,2.0,0,0,1,0,1,0,0,120000.0
416,27.0,2.0,1,0,0,0,0,1,0,110000.0
417,30.0,5.0,0,0,0,1,1,0,0,180000.0
418,29.0,4.0,1,0,0,0,0,1,0,140000.0
419,32.0,7.0,1,0,0,0,0,1,0,170000.0
420,25.0,1.0,0,0,1,0,1,0,0,100000.0
421,33.0,8.0,0,0,0,1,0,1,0,190000.0
422,31.0,6.0,1,0,0,0,1,0,0,155000.0
423,28.0,3.0,0,0,1,0,0,1,0,130000.0
424,30.0,5.0,1,0,0,0,1,0,0,145000.0
425,27.0,2.0,0,0,0,1,0,1,0,115000.0
426,29.0,4.0,1,0,0,0,1,0,0,140000.0
427,34.0,9.0,1,0,0,0,0,1,0,185000.0
428,25.0,1.0,0,0,1,0,1,0,0,100000.0
429,33.0,8.0,0,0,0,1,0,1,0,190000.0
430,31.0,6.0,1,0,0,0,1,0,0,155000.0
431,28.0,3.0,0,0,1,0,0,1,0,130000.0
432,30.0,5.0,1,0,0,0,1,0,0,145000.0
433,28.0,3.0,1,0,0,0,0,1,0,125000.0
434,26.0,2.0,0,0,1,0,1,0,0,120000.0
435,27.0,2.0,1,0,0,0,0,1,0,110000.0
436,30.0,5.0,0,0,0,1,1,0,0,180000.0
437,29.0,4.0,1,0,0,0,0,1,0,140000.0
438,32.0,7.0,1,0,0,0,0,1,0,170000.0
439,25.0,1.0,0,0,1,0,1,0,0,100000.0
440,33.0,8.0,0,0,0,1,0,1,0,190000.0
441,31.0,6.0,1,0,0,0,1,0,0,155000.0
442,28.0,3.0,0,0,1,0,0,1,0,130000.0
443,30.0,5.0,1,0,0,0,1,0,0,145000.0
444,27.0,2.0,0,0,0,1,0,1,0,115000.0
445,29.0,4.0,1,0,0,0,1,0,0,140000.0
446,34.0,9.0,1,0,0,0,0,1,0,185000.0
447,25.0,1.0,0,0,1,0,1,0,0,100000.0
448,33.0,8.0,0,0,0,1,0,1,0,190000.0
449,31.0,6.0,1,0,0,0,1,0,0,155000.0
450,28.0,3.0,0,0,1,0,0,1,0,130000.0
451,30.0,5.0,1,0,0,0,1,0,0,145000.0
452,27.0,2.0,0,0,0,1,0,1,0,115000.0
453,29.0,4.0,1,0,0,0,1,0,0,140000.0
454,34.0,9.0,1,0,0,0,0,1,0,185000.0
455,25.0,1.0,0,0,1,0,1,0,0,100000.0
456,33.0,8.0,0,0,0,1,0,1,0,190000.0
457,31.0,6.0,1,0,0,0,1,0,0,155000.0
458,28.0,3.0,0,0,1,0,0,1,0,130000.0
459,30.0,5.0,1,0,0,0,1,0,0,145000.0
460,28.0,3.0,1,0,0,0,0,1,0,125000.0
461,26.0,2.0,0,0,1,0,1,0,0,120000.0
462,27.0,2.0,1,0,0,0,0,1,0,110000.0
463,30.0,5.0,0,0,0,1,1,0,0,180000.0
464,29.0,4.0,1,0,0,0,0,1,0,140000.0
465,32.0,7.0,1,0,0,0,0,1,0,170000.0
466,25.0,1.0,0,0,1,0,1,0,0,100000.0
467,33.0,8.0,0,0,0,1,0,1,0,190000.0
468,31.0,6.0,1,0,0,0,1,0,0,155000.0
469,28.0,3.0,0,0,1,0,0,1,0,130000.0
470,30.0,5.0,1,0,0,0,1,0,0,145000.0
471,27.0,2.0,0,0,0,1,0,1,0,115000.0
472,29.0,4.0,1,0,0,0,1,0,0,140000.0
473,34.0,9.0,1,0,0,0,0,1,0,185000.0
474,25.0,1.0,0,0,1,0,1,0,0,100000.0
475,33.0,8.0,0,0,0,1,0,1,0,190000.0
476,31.0,6.0,1,0,0,0,1,0,0,155000.0
477,28.0,3.0,0,0,1,0,0,1,0,130000.0
478,30.0,5.0,1,0,0,0,1,0,0,145000.0
