,Unnamed: 0,Age,Gender,Education Level,Job Title,Years of Experience,Salary
164,164,41.0,Female,Master,Senior Human Resources Manager,13.0,120000.0
165,165,27.0,Male,Bachelor,Junior Business Development Associate,1.5,35000.0
166,166,40.0,Female,Bachelor,Senior Account Manager,14.0,110000.0
167,167,46.0,Male,PhD,Senior Researcher,18.0,150000.0
168,168,31.0,Female,Bachelor,Junior HR Coordinator,4.0,50000.0
169,169,34.0,Male,Master,Senior Software Engineer,9.0,105000.0
170,170,50.0,Female,Master,Director of Finance,20.0,180000.0
171,171,29.0,Male,Bachelor,Junior Marketing Coordinator,2.0,40000.0
172,172,27.0,,,,2.0,140000.0
173,173,43.0,Male,Bachelor,Senior Project Manager,16.0,140000.0
174,174,26.0,Female,Master,Junior Data Scientist,1.5,45000.0
175,175,35.0,Male,Bachelor,Senior Operations Analyst,7.0,85000.0
176,176,42.0,Female,PhD,Senior Marketing Manager,18.0,140000.0
177,177,31.0,Male,Bachelor,Junior Accountant,4.0,50000.0
178,178,38.0,Female,Bachelor,Senior Human Resources Coordinator,10.0,80000.0
179,179,46.0,Male,Master,Director of Operations,20.0,170000.0
180,180,29.0,Female,Bachelor,Junior Sales Representative,2.0,40000.0
181,181,37.0,Male,Master,Senior Business Analyst,9.0,105000.0
182,182,44.0,Female,PhD,Senior UX Designer,15.0,145000.0
183,183,27.0,Male,Bachelor,Junior Product Manager,2.0,40000.0
184,184,36.0,Female,Bachelor,Senior Marketing Specialist,8.0,85000.0
185,185,43.0,Male,Bachelor,Senior IT Project Manager,14.0,130000.0
186,186,33.0,Female,Master,Senior Financial Analyst,6.0,95000.0
187,187,34.0,Male,Bachelor,Senior Quality Assurance Analyst,9.0,100000.0
188,188,50.0,Female,PhD,Director of Sales and Marketing,22.0,180000.0
189,189,28.0,Male,Bachelor,Junior Operations Analyst,1.5,35000.0
190,190,39.0,Female,Bachelor,Senior Account Executive,12.0,95000.0
191,191,47.0,Male,Master,Director of Business Development,19.0,170000.0
192,192,30.0,Female,Bachelor,Junior Social Media Manager,3.0,45000.0
193,193,34.0,Male,Bachelor,Senior Product Manager,7.0,95000.0
194,194,40.0,Female,Master,Senior Human Resources Specialist,13.0,120000.0
195,195,28.0,Male,Bachelor,Junior Business Analyst,2.0,40000.0
196,196,41.0,Female,Bachelor,Senior Marketing Coordinator,11.0,90000.0
197,197,45.0,Male,PhD,Senior Data Analyst,17.0,155000.0
198,198,32.0,Female,Bachelor,Junior Account Manager,5.0,55000.0
199,199,35.0,Male,Master,Senior Software Developer,9.0,110000.0
200,200,49.0,Female,Master,Director of Human Capital,21.0,180000.0
201,201,30.0,Male,Bachelor,Junior Advertising Coordinator,3.0,45000.0
202,202,44.0,Male,Bachelor,Senior Sales Manager,16.0,130000.0
203,203,27.0,Female,Master,Junior UX Designer,1.5,45000.0
204,204,36.0,Male,Bachelor,Senior Accountant,7.0,90000.0
205,205,41.0,Female,PhD,Senior Marketing Director,17.0,160000.0
206,206,31.0,Male,Bachelor,Junior HR Generalist,4.0,50000.0
207,207,39.0,Female,Bachelor,Senior Operations Manager,10.0,120000.0
208,208,47.0,Male,Master,Director of Finance,20.0,170000.0
209,209,30.0,Female,Bachelor,Junior Marketing Coordinator,2.0,40000.0
210,210,38.0,Male,Master,Senior IT Consultant,9.0,110000.0
211,211,45.0,Female,PhD,Senior Product Designer,15.0,150000.0
212,212,28.0,Male,Bachelor,Junior Business Development Associate,2.0,40000.0
213,213,35.0,Female,Bachelor,Senior Marketing Analyst,8.0,85000.0
214,214,44.0,Male,Bachelor,Senior Software Engineer,14.0,130000.0
215,215,34.0,Female,Master,Senior Financial Advisor,6.0,100000.0
216,216,35.0,Male,Bachelor,Senior Project Coordinator,9.0,95000.0
217,217,50.0,Female,PhD,Director of Operations,22.0,180000.0
218,218,29.0,Male,Bachelor,Junior Business Operations Analyst,1.5,35000.0
219,219,40.0,Female,Bachelor,Senior Sales Representative,12.0,100000.0
220,220,48.0,Male,Master,Director of Marketing,19.0,170000.0
221,221,31.0,Female,Bachelor,Junior Social Media Specialist,3.0,45000.0
222,222,33.0,Male,Bachelor,Senior Product Development Manager,7.0,100000.0
223,223,42.0,Female,Master,Senior Human Resources Manager,13.0,140000.0
224,224,28.0,Male,Bachelor,Junior Financial Analyst,2.0,40000.0
225,225,40.0,Female,Bachelor,Senior Marketing Manager,11.0,105000.0
226,226,46.0,Male,PhD,Senior Data Scientist,18.0,160000.0
227,227,33.0,Female,Bachelor,Junior Operations Manager,5.0,70000.0
228,228,37.0,Male,Master,Senior Software Architect,9.0,120000.0
229,229,51.0,Female,Master,Director of Human Resources,21.0,190000.0
230,230,30.0,Male,Bachelor,Junior Marketing Specialist,3.0,45000.0
231,231,43.0,Male,Bachelor,Senior Project Manager,15.0,120000.0
232,232,27.0,Female,Master,Junior Research Scientist,1.5,50000.0
233,233,35.0,Male,Bachelor,Senior Operations Analyst,8.0,85000.0
234,234,42.0,Female,PhD,Senior Marketing Manager,13.0,140000.0
235,235,32.0,Male,Bachelor,Junior Sales Representative,3.0,45000.0
236,236,37.0,Female,Bachelor,Senior Financial Analyst,9.0,100000.0
237,237,45.0,Male,Master,Senior Software Developer,16.0,140000.0
238,238,33.0,Female,Bachelor,Junior Operations Analyst,5.0,70000.0
239,239,39.0,Male,Bachelor,Senior Marketing Specialist,10.0,120000.0
240,240,44.0,Female,PhD,Senior HR Manager,18.0,160000.0
241,241,29.0,Male,Bachelor,Junior Business Analyst,1.5,40000.0
242,242,38.0,Female,Bachelor,Senior Product Manager,10.0,120000.0
243,243,46.0,Male,PhD,Senior Data Analyst,19.0,150000.0
244,244,34.0,Female,Bachelor,Junior Marketing Analyst,6.0,70000.0
245,245,36.0,Male,Bachelor,Senior Operations Manager,8.0,95000.0
246,246,49.0,Female,Master,Director of Marketing,21.0,180000.0
247,247,31.0,Male,Bachelor,Junior Financial Analyst,3.0,50000.0
248,248,41.0,Female,Bachelor,Senior Project Coordinator,11.0,95000.0
249,249,47.0,Male,Master,Director of Operations,20.0,170000.0
250,250,30.0,Female,Bachelor,Junior Marketing Coordinator,2.0,40000.0
251,251,38.0,Male,Master,Senior IT Consultant,9.0,110000.0
252,252,45.0,Female,PhD,Senior Product Designer,15.0,150000.0
253,253,28.0,Male,Bachelor,Junior Business Development Associate,2.0,40000.0
254,254,35.0,Female,Bachelor,Senior Marketing Analyst,8.0,85000.0
255,255,44.0,Male,Bachelor,Senior Software Engineer,14.0,130000.0
256,256,34.0,Female,Master,Senior Financial Advisor,6.0,100000.0
257,257,35.0,Male,Bachelor,Senior Project Coordinator,9.0,95000.0
258,258,50.0,Female,PhD,Director of Operations,22.0,180000.0
259,259,29.0,Male,Bachelor,Junior Business Operations Analyst,1.5,350.0
260,260,27.0,,,,2.0,140000.0
261,261,37.0,Female,Bachelor,Senior Financial Manager,10.0,120000.0
262,262,46.0,Male,PhD,Senior Data Scientist,18.0,160000.0
263,263,31.0,Female,Bachelor,Junior Marketing Coordinator,3.0,50000.0
264,264,42.0,Male,Bachelor,Senior Operations Manager,12.0,110000.0
265,265,29.0,Female,Bachelor,Junior Sales Representative,1.5,40000.0
266,266,36.0,Male,Bachelor,Senior Marketing Specialist,8.0,95000.0
267,267,44.0,Female,Master,Senior HR Specialist,15.0,140000.0
268,268,33.0,Male,Bachelor,Junior Operations Manager,4.0,60000.0
269,269,39.0,Female,Bachelor,Senior Marketing Coordinator,9.0,110000.0
270,270,45.0,Male,PhD,Senior Data Engineer,16.0,150000.0
271,271,32.0,Female,Bachelor,Junior Marketing Manager,4.0,60000.0
272,272,37.0,Male,Bachelor,Senior Financial Analyst,8.0,90000.0
273,273,47.0,Female,Master,Director of Marketing,20.0,180000.0
274,274,30.0,Male,Bachelor,Junior Business Analyst,2.0,40000.0
275,275,38.0,Female,Bachelor,Senior Project Manager,9.0,120000.0
276,276,46.0,Male,PhD,Senior Data Analyst,17.0,160000.0
277,277,34.0,Female,Bachelor,Junior Financial Analyst,5.0,70000.0
278,278,36.0,Male,Bachelor,Senior Product Manager,8.0,95000.0
279,279,49.0,Female,Master,Director of Operations,21.0,180000.0
280,280,31.0,Male,Bachelor,Junior Operations Analyst,3.0,50000.0
281,281,41.0,Female,Bachelor,Senior Project Coordinator,11.0,95000.0
282,282,47.0,Male,Master,Director of Marketing,19.0,170000.0
283,283,29.0,Female,Bachelor,Junior Business Development Associate,1.5,35000.0
284,284,35.0,Male,Bachelor,Senior Financial Manager,9.0,100000.0
285,285,44.0,Female,PhD,Senior Product Designer,15.0,150000.0
286,286,33.0,Male,Bachelor,Junior Business Analyst,4.0,60000.0
287,287,35.0,Female,Bachelor,Senior Marketing Analyst,8.0,85000.0
288,288,44.0,Male,Bachelor,Senior Software Engineer,13.0,130000.0
289,289,32.0,Male,Bachelor,Junior Product Manager,4.0,65000.0
290,290,38.0,Female,Bachelor,Senior Business Analyst,10.0,110000.0
291,291,49.0,Male,PhD,Director of Operations,21.0,180000.0
292,292,29.0,Female,Bachelor,Junior Marketing Specialist,2.0,40000.0
293,293,35.0,Male,Bachelor,Senior Business Development Manager,7.0,90000.0
294,294,45.0,Female,Master,Senior HR Manager,14.0,140000.0
295,295,33.0,Male,Bachelor,Junior Financial Analyst,4.0,60000.0
296,296,40.0,Female,Bachelor,Senior Marketing Manager,12.0,130000.0
297,297,44.0,Male,PhD,Senior Data Scientist,16.0,160000.0
298,298,30.0,Female,Bachelor,Junior Operations Coordinator,2.0,40000.0
299,299,37.0,Male,Bachelor,Senior Marketing Analyst,9.0,100000.0
300,300,48.0,Female,Master,Director of HR,20.0,180000.0
301,301,31.0,Male,Bachelor,Junior Project Manager,3.0,55000.0
302,302,38.0,Female,Bachelor,Senior Operations Coordinator,9.0,120000.0
303,303,45.0,Male,PhD,Senior Data Engineer,16.0,150000.0
304,304,33.0,Female,Bachelor,Junior Marketing Manager,5.0,70000.0
305,305,36.0,Male,Bachelor,Senior Business Analyst,8.0,95000.0
306,306,49.0,Female,Master,Director of Marketing,21.0,180000.0
307,307,31.0,Male,Bachelor,Junior Operations Analyst,3.0,50000.0
308,308,42.0,Female,Bachelor,Senior Project Manager,12.0,120000.0
309,309,47.0,Male,Master,Director of Marketing,19.0,170000.0
310,310,29.0,Female,Bachelor,Junior Business Development Associate,1.5,35000.0
311,311,35.0,Male,Bachelor,Senior Financial Manager,9.0,100000.0
312,312,44.0,Female,PhD,Senior Product Designer,15.0,150000.0
313,313,33.0,Male,Bachelor,Junior Business Analyst,4.0,60000.0
314,314,35.0,Female,Bachelor,Senior Marketing Analyst,8.0,85000.0
315,315,44.0,Male,Bachelor,Senior Software Engineer,13.0,130000.0
316,316,34.0,Female,Master,Senior Financial Advisor,6.0,80000.0
317,317,36.0,Male,Bachelor,Senior Marketing Specialist,8.0,95000.0
318,318,30.0,Female,Bachelor,Junior HR Coordinator,2.0,40000.0
319,319,37.0,Male,Bachelor,Senior Business Development Manager,10.0,120000.0
320,320,45.0,Female,Master,Senior Marketing Manager,16.0,160000.0
321,321,32.0,Male,Bachelor,Junior Financial Advisor,4.0,65000.0
322,322,39.0,Female,Bachelor,Senior Project Manager,12.0,130000.0
323,323,47.0,Male,PhD,Director of Engineering,20.0,180000.0
324,324,29.0,Female,Bachelor,Junior Marketing Analyst,2.0,40000.0
325,325,36.0,Male,Bachelor,Senior Operations Manager,9.0,100000.0
326,326,43.0,Female,PhD,Senior Data Scientist,15.0,150000.0
327,327,32.0,Male,Bachelor,Junior Marketing Coordinator,3.0,55000.0
328,328,38.0,Female,Bachelor,Senior Business Analyst,10.0,110000.0
329,329,48.0,Male,Master,Director of Marketing,21.0,180000.0
330,330,31.0,Female,Bachelor,Junior Business Development Associate,3.0,50000.0
331,331,40.0,Male,Bachelor,Senior Financial Analyst,12.0,130000.0
332,332,45.0,Female,PhD,Senior UX Designer,16.0,160000.0
333,333,33.0,Male,Bachelor,Junior Product Manager,4.0,60000.0
334,334,36.0,Female,Bachelor,Senior Marketing Manager,8.0,95000.0
335,335,47.0,Male,Master,Director of Operations,19.0,170000.0
336,336,29.0,Female,Bachelor,Junior Project Manager,2.0,40000.0
337,337,34.0,Male,Bachelor,Senior Operations Coordinator,7.0,90000.0
338,338,44.0,Female,PhD,Senior Business Analyst,15.0,150000.0
339,339,33.0,Male,Bachelor,Junior Marketing Specialist,5.0,70000.0
340,340,35.0,Female,Bachelor,Senior Financial Manager,8.0,90000.0
341,341,43.0,Male,Master,Director of Marketing,18.0,170000.0
342,342,31.0,Female,Bachelor,Junior Financial Analyst,3.0,50000.0
343,343,41.0,Male,Bachelor,Senior Product Manager,14.0,150000.0
344,344,44.0,Female,PhD,Senior Data Engineer,16.0,160000.0
345,345,33.0,Male,Bachelor,Junior Business Analyst,4.0,60000.0
346,346,35.0,Female,Bachelor,Senior Marketing Analyst,8.0,85000.0
347,347,45.0,Male,Master,Director of Engineering,19.0,180000.0
348,348,28.0,Female,Bachelor,Junior Operations Manager,1.0,35000.0
349,349,36.0,Male,Bachelor,Senior Business Development Manager,8.0,110000.0
350,350,44.0,Female,PhD,Senior Data Scientist,16.0,160000.0
351,351,31.0,Male,Bachelor,Junior Marketing Coordinator,3.0,55000.0
352,352,38.0,Female,Bachelor,Senior Business Analyst,10.0,110000.0
353,353,48.0,Male,Master,Director of Marketing,21.0,180000.0
354,354,31.0,Female,Bachelor,Junior Business Development Associate,3.0,50000.0
355,355,40.0,Male,Bachelor,Senior Financial Analyst,12.0,130000.0
356,356,45.0,Female,PhD,Senior UX Designer,16.0,160000.0
357,357,33.0,Male,Bachelor,Junior Product Manager,4.0,60000.0
358,358,36.0,Female,Bachelor,Senior Marketing Manager,8.0,95000.0
359,359,47.0,Male,Master,Director of Operations,19.0,170000.0
360,360,29.0,Female,Bachelor,Junior Project Manager,2.0,40000.0
361,361,34.0,Male,Bachelor,Senior Operations Coordinator,7.0,90000.0
362,362,44.0,Female,PhD,Senior Business Analyst,15.0,150000.0
363,363,33.0,Male,Bachelor,Junior Marketing Specialist,5.0,70000.0
364,364,35.0,Female,Bachelor,Senior Financial Manager,8.0,90000.0
365,365,43.0,Male,Master,Director of Marketing,18.0,170000.0
366,366,31.0,Female,Bachelor,Junior Financial Analyst,3.0,50000.0
367,367,41.0,Male,Bachelor,Senior Product Manager,14.0,150000.0
368,368,44.0,Female,PhD,Senior Data Engineer,16.0,160000.0
369,369,33.0,Male,Bachelor,Junior Business Analyst,4.0,60000.0
370,370,35.0,Female,Bachelor,Senior Marketing Analyst,8.0,85000.0
371,371,43.0,Male,Master,Director of Operations,19.0,170000.0
372,372,29.0,Female,Bachelor,Junior Project Manager,2.0,40000.0
373,373,34.0,Male,Bachelor,Senior Operations Coordinator,7.0,90000.0
374,374,44.0,Female,PhD,Senior Business Analyst,15.0,150000.0
375,375,31.0,Male,Master,Data Scientist,6.0,160000.0
376,376,28.0,Female,Bachelor,Software Engineer,3.0,125000.0
377,377,26.0,Male,Master,Product Manager,2.0,120000.0
378,378,27.0,Female,Bachelor,Data Analyst,2.0,110000.0
379,379,30.0,Male,PhD,Data Scientist,5.0,180000.0
380,380,29.0,Female,Bachelor,Software Engineer,4.0,140000.0
381,381,32.0,Male,Bachelor,Product Manager,7.0,170000.0
382,382,25.0,Female,Master,Data Analyst,1.0,100000.0
383,383,33.0,Male,PhD,Data Scientist,8.0,190000.0
384,384,31.0,Female,Bachelor,Software Engineer,6.0,155000.0
385,385,28.0,Male,Master,Product Manager,3.0,130000.0
386,386,30.0,Female,Bachelor,Data Analyst,5.0,145000.0
387,387,27.0,Male,PhD,Data Scientist,2.0,115000.0
388,388,29.0,Female,Bachelor,Software Engineer,4.0,140000.0
389,389,34.0,Male,Bachelor,Product Manager,9.0,185000.0
390,390,25.0,Female,Master,Data Analyst,1.0,100000.0
391,391,33.0,Male,PhD,Data Scientist,8.0,190000.0
392,392,31.0,Female,Bachelor,Software Engineer,6.0,155000.0
393,393,28.0,Male,Master,Product Manager,3.0,130000.0
394,394,30.0,Female,Bachelor,Data Analyst,5.0,145000.0
395,395,28.0,Male,Bachelor,Software Engineer,3.0,125000.0
396,396,26.0,Female,Master,Product Manager,2.0,120000.0
397,397,27.0,Male,Bachelor,Data Analyst,2.0,110000.0
398,398,30.0,Female,PhD,Data Scientist,5.0,180000.0
399,399,29.0,Male,Bachelor,Software Engineer,4.0,140000.0
400,400,32.0,Male,Bachelor,Product Manager,7.0,170000.0
401,401,25.0,Female,Master,Data Analyst,1.0,100000.0
402,402,33.0,Male,PhD,Data Scientist,8.0,190000.0
403,403,31.0,Female,Bachelor,Software Engineer,6.0,155000.0
404,404,28.0,Male,Master,Product Manager,3.0,130000.0
405,405,30.0,Female,Bachelor,Data Analyst,5.0,145000.0
406,406,27.0,Male,PhD,Data Scientist,2.0,115000.0
407,407,29.0,Female,Bachelor,Software Engineer,4.0,140000.0
